calle,comuna,numero_region
Río Maipo 134,Talcahuano,8.0
Silesia 1924,,
Manuel Rodriguez 475,,
San Carlos 390 Lt A2 Santa Leonor,,
Concepción,Concepción,8.0
Yungay,,
La palmera,,
Francisco Bilbao 6,,
pasaje estero quilaco 1473 villa brisa mar N4,,
CAM NUEVA ALDEA LT 1 S/N,,
Neptuno,,
El Huemul 6330,San Pedro de la Paz,8.0
Jjperez 4505,,
Gral. Baquedano,,
Av Las Camelias 1970 Villa Los Copihues,,
Camino a las termas km 37 s/n,,13.0
Tucapel 564 Oficina 31,,
Huérfanos 1117,Concepción,8.0
Michimalongo,,
Gómez Carreño 3843,Talcahuano,8.0
Ángeles 214,,
Errazuriz 3115,,
3XR7+4F,,
2W76+M5,,
Rodrigo De Araya 1263,,
Riquelme 627,,
Las Canoas 712,,
Camino Concepcion a Coronel K 15 5 Parc 11 A Lote C,Coronel,
Ohiggins 175 Poblacion Santa Leonor,,6.0
Malaquias Concha 747 San Vicente,,
3800584 Chillán,,
Av. Las Rosas 498,,
Diego de Oro 153,Concepción,8.0
fundo las coles parcela 10,,
Eleuterio Ramírez 142,Talcahuano,8.0
Los Guindos Lote C SN Camino A Las Mariposas,,
Curacaví,,
Gongora y Marmolejo 1535,,13.0
Av. Alemania,,
Pasaje 5 Casa 186 Poblacion Partal,,
Joaquín Prieto 289,Concepción,8.0
4790712 Temuco,,9.0
Ignacio Carrera Pinto 265,,
Moya,,
Colton quillay parcela 12,,
Sta. Clara,Hualpén,8.0
general velasquez 1058,,
Las Achiras 17,,
Las Delicias 678 Los Boldos Chiguayante,Chiguayante,
Huape 9169 Parque Residencial Hualpen,,
Avda Argentina 250,,
El Carmen 151 Santa Leonor,,13.0
GRANJA LOS NIRRES SN,,
Maiten 130 Higueras,,
C. A 1219,Concepción,8.0
Arturo Prat 588,Concepción,8.0
Sargento Aldea 1040,,
El Pellin,Tomé,8.0
Km 426 Panamericana Sur Bulnes,,
Fray Bartolome del pozo block 372 depto 21,,
Cato,Hualpén,8.0
El Carmen 2353 Barrio Norte,,13.0
Thompson 652 Sector Arenal,,
Dadinco,,
Parlamento de Negrete 47 Villa San pedro,,
Francia 158,,
Av. Manuel Rodríguez 2881,Chiguayante,8.0
Volcan Quizapu 1508,,
Julio Alcaíno 020,,6.0
Ruta los Conquistadores,,
Camino a portezuelo km 2 chinquimavida lt2,,
España 399,Talcahuano,8.0
3793114 Chillan,,
Av. Vial 698,,
Parcela 3 Carriel Norte,,
Pilpilco,Hualpén,8.0
Rinco 2 Parcela 7 Camino a Rafael,,
San Martín 312,Talcahuano,8.0
Cam. Einstein,Concepción,8.0
Avenida Latorre 953 San Vicente,,
Tomé 30-68,Tomé,
Arturo Prat 156,,
San Ignacio de Loyola 1915,Santiago,13.0
Arturo Prat 1201,,
Andes 37,,
Barrio Universitario,Concepción,8.0
Chillán,,
Av. Pdte. Jorge Alessandri Rodriguez 3177,,
Av. O'Higgins 48,,6.0
Luis Araneda S/N Chillan Viejo,,
General Baquedano SN,,
Avenida Ramon Carrasco 231 100 Lomas Antilhue,,
Carriel Norte Lote 9 A 1 SN,,
Av. Manuel Rodríguez 1267,Concepción,8.0
Rancagua 65 Interior Pedro de Valdivia Bajo,,
Calle esmalia 76 las violetas,,
Itata,,
Avda Latorre 1209 San Vicente,,
Pasaje Reina Victoria 6583,,
La Vega 520 Santa Leonor,,
Gobernador Juan Enriquez 1020,,
Camino A Coronel 3739 Pablo Agren,Coronel,
Camino Sector Calle Alegre,,
Laminadores 36 Higueras,,
Augusto Dhalmar 8734 Villa Acero,,
Gran Bretana 4479 Of 3 parque empresarial Bio Bio,,8.0
Chirrillo sin número (1km norte de la iansa ),,
O'Higgins 380,,6.0
Caleta Chome 1326 Nueva Los Lobos,,
Compañia de Maria 571 galilea,,
Brasil 420,,
Talcahuano,Talcahuano,8.0
Ohigggins 728,,
Alonso de ercilla 994 villa san vicente,,
Las Hortensias 501,,
Monte Blanco,,
Italia 746,,
Villa dona rosa calle rio cato 799,,
Sicilia 8032,,
Local 145,San Pedro de la Paz,8.0
panam norte 0615,,
La Maestranza Sitio 16 14 Pqe Ind Lota Alto,Lota,
Brasil 117 San Vicente,,
4180324 Hualqui,,8.0
ohiggins 1544,,6.0
Ejército,,
Anibal Pinto 509 702,,
Colón 3880,Talcahuano,8.0
Simpson 110 Gaete,,
Calle 2 Casa 37 Santo Domingo,,
Jose Cardenio Avello 442,,
Av. Laguna Grande 630,San Pedro de la Paz,8.0
Estero Lluanco,,
Caldera 7204,Talcahuano,8.0
C. Pioneros 554,,5.0
Argomedo 37,Concepción,8.0
Los Tilos,,
Maipu 1368 Interior,,
Las canoas 712 chillan viejo,,
Av. Los Claveles 170,San Pedro de la Paz,8.0
Monsalve 146,,8.0
Los Mañíos 254,Concepción,8.0
Callejon Bodeega Bca N° 2 Copiapo,,
Jose Miguel Garcia 298,,
Av ohigggins 798 a,,
ARTURO PRAT 480,,
Los Carrera 511,,
Francia 146,,
fundo las cabras km 14 cam a cohigueco,,
Carrizal,,8.0
Ruiz de gamboa 223,,
Lastarria 1199,Concepción,8.0
Felix Eicher 262,,
Ruta 5 Sur Km122 SN,,
El quilquil 4338 Huachicoop,,
Santiago Watt 4480,Santiago,13.0
lote 13 predio los placer s/n yungay,,
Los volcanes 5 Pasaje irruputuncu 836,,
Pje. Uno 720-776,Concepción,8.0
patricio linch 531,,
Gabriel Toro 178,,
Av. Los Presidentes 1446,Concepción,8.0
Michimalongo 3945,Talcahuano,8.0
Sitio 6 los Montes chillan,,
Km 11 Camino a San Javier,,
V Letelier 1373 D 809,,
Heras 935,,
Catalina de Siena 185 Torre Depto 62 Lomas de San Sebastian,,
Barranquilla 518 San Vicente,,
Trehuaco 620,Hualpén,8.0
Camino a coronel km 10 san pedro,Coronel,
Carmen Mena 887,,13.0
Zaragoza 3345 Espana,,
Pasaje Ramon Gallegos 770,,
La Vega 241 Sta Leonor,,
Caupolican 567 706,,
Jaime Repullo 1574,,
1 Nte. 461,,5.0
Leonardo bustamante 2313,,
René Schneider 543,,
Almte. Latorre 783,Talcahuano,8.0
John kennedy 12311,,
Isla Sta. María 380,,
Rosauro Acuña 1,,
Huertfanos 1055 503,,
O'Higgins 3038,Hualpén,8.0
Rio Viejo 861,,
Chillan,,
Avda Las Trancas 1793,,
Diego de Oro 382 Chillancito,,
Diego Portales 178,Concepción,8.0
kilómetro 7.5 Rinco 2 Tomé Tomé,Tomé,
Lote 13 - A sn el colmenar Null Valdivia,,
El Arenal - Hijuela 54,,
Colon 24,,
150 pasaje dos casa 7  Punta de Parra,,
Los maquis 617,Talcahuano,8.0
Teniente Merino 257,,
Gómez Carreño 5435,Talcahuano,8.0
Floresta 3,Hualpén,8.0
Calama 522,,
Sady Zanartu 7941,,
Calle A - Manzana C - Lote 18 Km 20,,
Kilometro 1 Camino a Coelemu,,
Monsenor Alarcon 444 Huertos Familiares,,
Paicavi 1879,,
Calle Argentina 1,,
Lautaro 2102-E,,
Chorrillos 1153 Barrio Universitario,,
Las Golondrinas 452,,
Arturo Prat 199,Concepción,8.0
Avda los Carrera 182,,
Jaime Repullo 1794,,
Puren 318,,
Baquedano 386,,
Manuel Montt 410,Talcahuano,8.0
Isla Rocuant S/N,,
Río Loa 1397,Concepción,8.0
Miguel Cervantes 267 San Vicente,,
Ainavillo 1026,,
6 Sur 2145,,
Nebuco,,
Manuel Zañartu 480,,
Wenmapu,Coronel,8.0
Gral. Velásquez 1058,,
Cruz 720,,
Río Viejo 367,,
Juan Guillermo Sosa 1025,Talcahuano,13.0
Enrique Soro 1520,San Pedro de la Paz,8.0
3810332 Chillán,,
Libertador Gral. Bernardo O'Higgins 1515,Concepción,8.0
Pto Varas 386,Concepción,8.0
Parque Nacional Vicente PE 681 Bosques San Pedro,,
Av. Estero la Posada,,
Colo Colo 933 Dp 708,,
Avda Colon 3081 Las Salinas,,
Lote 1 San Jorge Var Cato SN,,
Caleuche 243,Concepción,8.0
Salas 480 8 301,,
Los Industriales 972,,
Av. Portal del Libertador 357,,
Arauco 340,,
Cerro Termas de Chillán 586,,13.0
Los Acacios 56 San Pedro de La paz,San Pedro de la Paz,
53FC+M8,Concepción,8.0
Lago Caburga 5573,Talcahuano,8.0
Pasaje 4 N 492 Mirador del Rio Chiguayante,Chiguayante,
Pje. 1,,
Brasil 9,Talcahuano,8.0
Jaime Repullo 1976,,
Exequiel Fernández 158,,13.0
Mackay 549,,
Gran Bretaña,Hualpén,8.0
Lautaro 181,Talcahuano,8.0
David Gazmuri,,
Las Heras 1725,Concepción,8.0
Autopista,,
Nonguén 1017,Concepción,8.0
Colo Colo 750,Concepción,8.0
Jaime Repullo 2850,,
Diego Portales 280,,
Fresia 7,Talcahuano,8.0
Sanders 200,Concepción,8.0
Radal 587 Higueras,,
Calle cordero 997 barrio el rodeo,,
Pangalillo Kil 4 Lote 8 y 9,,
Serrano 151,,
Los Naranjos 24,Concepción,8.0
18 de Septiembre 1286,,
Juan De Dios Rivera 590 Lote E,,
Quillay 397,,
Cam. San Luis,,
Cornelia Olivares 626,,
Los Carrera 301,Talcahuano,8.0
Km9 camino a huape (paradero las rosas ),,
Salas 1371,,
Av. Golfo De Arauco 3649,Concepción,8.0
Javier Jarpa Sotomayor s/n,,
Av. Pedro de Valdivia 45,Concepción,8.0
Pasaje 26 4271,Talcahuano,8.0
Avda Argentina 1115,,
Calle 4 Prolongacion Quirihue 1226 101 Costanera Rucalhue,,
El Conquistador del monte 4732,,
Avda Federico Schwager 1005 parque industrial,,
Avda Vicente Mendez 75,,
Los cormonales 233,Talcahuano,13.0
Unnamed Road,,
Rúa do Progreso,,
Ruta 156 km 21,Coronel,8.0
Castellón 1129,Concepción,8.0
Rodolfo Briceño 2718,Concepción,8.0
Gral. Cruz 257,Talcahuano,8.0
Av Javier jarpa Soto mayor resintió sin número (pinto),,
Santa Helena 1533 Alto del Laja,,
pasaje 1 lote 43 granja eliana,,
Bélgica 1673,Hualpén,8.0
Jaime Repullo 2295 Bock J,,
Av. Brasil 855,,
La Vega 801,Talcahuano,8.0
Carriel Norte Sitio 7,,
Cochrane 284,Concepción,8.0
Quinta Nancahua lote 5 sector Duqueco,,
PASAJE VISTA BELLA 3357 DONA JOSEFINA,,
Thompson 147,,
Av. 80,,
Calle huemules 1081 parque ñuble,,
Cocharcas 345,,
Granja Santa Marta km 1 avda Octavio Jara Wolf,,
Andrés Bello 877,,
Portezuelo,,
Av. San Sebastián,Concepción,8.0
Jaime Repullo 755,Talcahuano,8.0
Pje. Catorce,,
Tarapaca 941 Diego Portales,,
La Cantata 7534,,
Chillán Viejo,,
C. Tres Nte. 950,San Pedro de la Paz,8.0
Juan de La Cruz Tapia 145,Talcahuano,8.0
CLAUDIO ARRAU 1040,,
Freire 549,Concepción,8.0
Ejercito 650,,
Bello Horizonte,,
Ruta 160 138,,
KM 6 5 Camino a San Javier SN,,
Malaquias Concha 819,,
Jotabeche 2985 Santa Clara,,
Manuel Bulnes 826,,
Valle Hermoso,,13.0
Canapus 199,Penco,8.0
El Conquistador K 1,,
PANAMERICANA NORTE 582,,
Barros Arana 492,Concepción,8.0
Ruta 146,,8.0
Villa rio chillan calle safiro 1377,,
Calle Ing. Ernesto Pinto Lagarrigue 1886,,
Parcela 11 Virtud Campesina  Sector Pata de Gallina,,
Av. Los Presidentes 1566,Concepción,8.0
Escocia 866 hualpen,,
lejandro Fuenzalida 713,,
Badajos 045 Piso 5 Edif Fundadores 2,,
Juan de Dios Rivera 590,Concepción,8.0
Fundo La Cruz Lote N2 SN,,
Mariano Egaña 1461,,
Del Puente 1064,,
Dos Ote,,
Carmen 752,,13.0
Km 0,,
Cartagena 849,Hualpén,8.0
Pasaje Cerro Altar 508,Coronel,
"Col. Bernardo O""higgins",,
Av. Cristóbal Colón,,8.0
3381147 Molina,,
Km 2 Ruta Q50,,
San Nicolás,,
Las Acacias 8,,
tres esquinas s/n,,
Colón 3188,Talcahuano,8.0
Luis Uribe 3659,,
Pje. las Lilas 35,Concepción,8.0
Andalué,San Pedro de la Paz,8.0
Miguel de Cervantes 267 San Vicente,,
km 14 Ruta N° 55 Camino a Pinto,,
Rio Lontue 597 Denavi Sur,,
Alto Horno 396,Talcahuano,8.0
km 7 del,,
